Date,CampaignID,ProductID,RegionID,Device,Gender,AgeGroup,Spend,Impressions,Clicks,Leads,Orders,Revenue
13-01-2025,CMP001,P001,R010,Desktop,Male,35-44,5448.04,18873,881,70,5,124995
13-01-2025,CMP001,P001,R011,Mobile,Male,18-24,5493.71,19816,902,72,3,74997
13-01-2025,CMP001,P001,R012,Desktop,Female,25-34,5864.32,20106,1225,98,6,149994
13-01-2025,CMP001,P001,R013,Mobile,Male,45-54,4909.46,17884,892,71,5,124995
13-01-2025,CMP001,P001,R014,Mobile,Female,45-54,4942.09,16591,745,59,3,74997
13-01-2025,CMP001,P001,R015,Mobile,Female,25-34,5617.9,18057,1002,80,5,124995
14-01-2025,CMP001,P001,R001,Mobile,Male,25-34,5807.97,22817,1197,95,3,74997
14-01-2025,CMP001,P001,R002,Mobile,Male,35-44,5506.19,20648,989,79,5,124995
14-01-2025,CMP001,P001,R003,Mobile,Male,35-44,5210.23,20840,946,75,5,124995
14-01-2025,CMP001,P001,R004,Mobile,Male,25-34,5070.3,18651,933,74,3,74997
14-01-2025,CMP001,P001,R005,Mobile,Female,45-54,4919.79,17570,1048,83,3,74997
14-01-2025,CMP001,P001,R006,Mobile,Male,25-34,5402.09,20836,1065,85,3,74997
14-01-2025,CMP001,P001,R007,Mobile,Female,35-44,5075.82,17765,806,64,1,24999
14-01-2025,CMP001,P001,R008,Mobile,Male,18-24,5012.95,16471,730,58,2,49998
14-01-2025,CMP001,P001,R009,Tablet,Female,25-34,5019.88,17031,850,68,3,74997
14-01-2025,CMP001,P001,R010,Mobile,Female,18-24,5061.81,17535,921,73,4,99996
14-01-2025,CMP001,P001,R011,Desktop,Female,25-34,5577.81,20119,1049,83,3,74997
14-01-2025,CMP001,P001,R012,Mobile,Male,18-24,5741.07,19683,851,68,2,49998
14-01-2025,CMP001,P001,R013,Mobile,Male,18-24,5200.85,18945,1034,82,3,74997
14-01-2025,CMP001,P001,R014,Mobile,Female,45-54,4967.47,16676,738,59,2,49998
14-01-2025,CMP001,P001,R015,Tablet,Male,25-34,5907.68,18988,1021,81,5,124995
15-01-2025,CMP001,P001,R001,Mobile,Male,25-34,5285.79,20765,1123,89,3,74997
15-01-2025,CMP001,P001,R002,Mobile,Male,35-44,5251.51,19693,903,72,2,49998
15-01-2025,CMP001,P001,R003,Desktop,Male,45-54,5299.04,21196,902,72,3,74997
15-01-2025,CMP001,P001,R004,Desktop,Male,18-24,5915.96,21762,1119,89,6,149994
15-01-2025,CMP001,P001,R005,Mobile,Male,18-24,5915.71,21127,1009,80,2,49998
15-01-2025,CMP001,P001,R006,Mobile,Male,18-24,5723.43,22076,862,68,3,74997
15-01-2025,CMP001,P001,R007,Mobile,Male,45-54,4995.21,17483,1036,82,4,99996
15-01-2025,CMP001,P001,R008,Mobile,Male,35-44,5075.35,16676,924,73,3,74997
15-01-2025,CMP001,P001,R009,Mobile,Female,18-24,4921.12,16696,792,63,3,74997
15-01-2025,CMP001,P001,R010,Mobile,Male,25-34,5845.99,20252,1053,84,2,49998
15-01-2025,CMP001,P001,R011,Desktop,Female,18-24,5461.69,19701,1091,87,6,149994
15-01-2025,CMP001,P001,R012,Mobile,Male,25-34,5694.54,19524,875,70,4,99996
15-01-2025,CMP001,P001,R013,Mobile,Male,25-34,5197.42,18933,1037,82,5,124995
15-01-2025,CMP001,P001,R014,Mobile,Male,25-34,5608.51,18828,863,69,3,74997
15-01-2025,CMP001,P001,R015,Mobile,Female,25-34,5994.56,19268,883,70,4,99996
16-01-2025,CMP001,P001,R001,Mobile,Female,45-54,5355.98,21041,1245,99,5,124995
16-01-2025,CMP001,P001,R002,Mobile,Female,45-54,5693.54,21350,1204,96,3,74997
16-01-2025,CMP001,P001,R003,Desktop,Male,35-44,5591.32,22365,890,71,5,124995
16-01-2025,CMP001,P001,R004,Desktop,Female,25-34,5422.88,19948,1143,91,4,99996
16-01-2025,CMP001,P001,R005,Desktop,Female,25-34,5125.8,18306,791,63,3,74997
16-01-2025,CMP001,P001,R006,Mobile,Male,18-24,5839.6,22524,1117,89,5,124995
16-01-2025,CMP001,P001,R007,Mobile,Female,35-44,5607.95,19627,869,69,4,99996
16-01-2025,CMP001,P001,R008,Desktop,Female,55+,5010.92,16464,795,63,4,99996
16-01-2025,CMP001,P001,R009,Desktop,Male,25-34,5142.5,17447,858,68,4,99996
16-01-2025,CMP001,P001,R010,Mobile,Female,18-24,5941.18,20581,1109,88,6,149994
16-01-2025,CMP001,P001,R011,Desktop,Female,45-54,4935.31,17802,803,64,4,99996
16-01-2025,CMP001,P001,R012,Desktop,Male,18-24,5084.8,17433,816,65,2,49998
16-01-2025,CMP001,P001,R013,Desktop,Male,25-34,5946.2,21661,1150,92,4,99996
16-01-2025,CMP001,P001,R014,Tablet,Unknown,35-44,5175.21,17373,876,70,4,99996
16-01-2025,CMP001,P001,R015,Desktop,Male,35-44,5085.23,16345,739,59,3,74997
17-01-2025,CMP001,P001,R001,Desktop,Female,25-34,5869.21,23057,1065,85,3,74997
17-01-2025,CMP001,P001,R002,Mobile,Female,35-44,5388.97,20208,833,66,5,124995
17-01-2025,CMP001,P001,R003,Mobile,Male,18-24,5152.82,20611,1073,85,4,99996
17-01-2025,CMP001,P001,R004,Mobile,Female,35-44,5699.49,20965,861,68,5,124995
17-01-2025,CMP001,P001,R005,Mobile,Female,35-44,5819.74,20784,978,78,5,124995
17-01-2025,CMP001,P001,R006,Desktop,Unknown,25-34,5484.36,21153,1032,82,5,124995
17-01-2025,CMP001,P001,R007,Mobile,Female,18-24,4954.22,17339,1014,81,5,124995
17-01-2025,CMP001,P001,R008,Desktop,Female,25-34,4956.41,16285,807,64,3,74997
17-01-2025,CMP001,P001,R009,Mobile,Female,35-44,5273.52,17892,1001,80,5,124995
17-01-2025,CMP001,P001,R010,Mobile,Male,35-44,5537.31,19182,920,73,4,99996
17-01-2025,CMP001,P001,R011,Mobile,Female,35-44,5011.61,18077,906,72,3,74997
17-01-2025,CMP001,P001,R012,Desktop,Male,25-34,5095.2,17469,930,74,3,74997
17-01-2025,CMP001,P001,R013,Mobile,Female,25-34,5953.19,21686,1235,98,6,149994
17-01-2025,CMP001,P001,R014,Mobile,Male,25-34,5864.15,19686,939,75,2,49998
17-01-2025,CMP001,P001,R015,Mobile,Female,25-34,5443.49,17496,873,69,2,49998
18-01-2025,CMP001,P001,R001,Mobile,Male,35-44,5398.23,21207,1134,90,6,149994
18-01-2025,CMP001,P001,R002,Mobile,Female,25-34,5576.99,20913,845,67,4,99996
18-01-2025,CMP001,P001,R003,Mobile,Male,55+,5081.47,20325,1129,90,3,74997
18-01-2025,CMP001,P001,R004,Mobile,Male,18-24,4933.11,18146,1069,85,2,49998
18-01-2025,CMP001,P001,R005,Mobile,Female,25-34,5503.96,19656,824,65,3,74997
18-01-2025,CMP001,P001,R006,Desktop,Female,35-44,5534.74,21348,1007,80,5,124995
18-01-2025,CMP001,P001,R007,Mobile,Male,25-34,5561.3,19464,804,64,2,49998
18-01-2025,CMP001,P001,R008,Desktop,Female,35-44,5925.17,19468,746,59,4,99996
18-01-2025,CMP001,P001,R009,Mobile,Female,35-44,5336.66,18106,1065,85,4,99996
18-01-2025,CMP001,P001,R010,Tablet,Female,25-34,5091.09,17636,735,58,3,74997
18-01-2025,CMP001,P001,R011,Mobile,Female,55+,4928.06,17776,717,57,1,24999
18-01-2025,CMP001,P001,R012,Desktop,Male,18-24,5913.73,20275,992,79,2,49998
18-01-2025,CMP001,P001,R013,Mobile,Female,35-44,5254.58,19141,944,75,5,124995
18-01-2025,CMP001,P001,R014,Desktop,Male,25-34,5061.47,16992,1008,80,6,149994
18-01-2025,CMP001,P001,R015,Mobile,Female,45-54,5921.69,19034,879,70,3,74997
19-01-2025,CMP001,P001,R001,Mobile,Female,18-24,5865.46,23042,1249,99,4,99996
19-01-2025,CMP001,P001,R002,Mobile,Female,25-34,5713.71,21426,1075,86,5,124995
19-01-2025,CMP001,P001,R003,Desktop,Female,45-54,5022.46,20089,826,66,4,99996
19-01-2025,CMP001,P001,R004,Mobile,Male,18-24,5190.27,19092,917,73,2,49998
19-01-2025,CMP001,P001,R005,Mobile,Female,25-34,5615.81,20056,1022,81,4,99996
19-01-2025,CMP001,P001,R006,Mobile,Male,25-34,5098.35,19665,896,71,5,124995
19-01-2025,CMP001,P001,R007,Tablet,Female,25-34,5466.56,19132,900,72,5,124995
19-01-2025,CMP001,P001,R008,Mobile,Female,35-44,5424.19,17822,860,68,5,124995
19-01-2025,CMP001,P001,R009,Mobile,Female,55+,5179.6,17573,825,66,3,74997
19-01-2025,CMP001,P001,R010,Mobile,Female,45-54,5381.25,18642,1022,81,3,74997
19-01-2025,CMP001,P001,R011,Desktop,Male,35-44,5661.43,20421,1114,89,6,149994
19-01-2025,CMP001,P001,R012,Mobile,Female,25-34,5844.89,20039,1013,81,3,74997
19-01-2025,CMP001,P001,R013,Mobile,Male,25-34,5807.01,21154,944,75,4,99996
19-01-2025,CMP001,P001,R014,Desktop,Male,55+,5032.56,16895,793,63,3,74997
19-01-2025,CMP001,P001,R015,Mobile,Female,55+,5350.94,17199,813,65,3,74997
20-01-2025,CMP001,P001,R001,Mobile,Male,55+,5246.92,20612,1023,81,3,74997
20-01-2025,CMP001,P001,R002,Mobile,Male,25-34,5127.15,19226,825,66,3,74997
20-01-2025,CMP001,P001,R003,Mobile,Male,25-34,5052.7,20210,1006,80,6,149994
20-01-2025,CMP001,P001,R004,Mobile,Female,35-44,5063.12,18625,1021,81,5,124995
20-01-2025,CMP001,P001,R005,Tablet,Male,18-24,4924.44,17587,983,78,4,99996
20-01-2025,CMP001,P001,R006,Mobile,Male,55+,5344.9,20616,1181,94,5,124995
20-01-2025,CMP001,P001,R007,Mobile,Female,35-44,5776.79,20218,824,65,3,74997
20-01-2025,CMP001,P001,R008,Mobile,Female,18-24,5933.46,19495,904,72,4,99996
20-01-2025,CMP001,P001,R009,Desktop,Male,35-44,5224.57,17726,775,62,2,49998
20-01-2025,CMP001,P001,R010,Mobile,Male,25-34,5799.89,20092,893,71,2,49998
20-01-2025,CMP001,P001,R011,Desktop,Male,18-24,5068.56,18283,917,73,3,74997
20-01-2025,CMP001,P001,R012,Tablet,Female,18-24,5711.4,19581,1080,86,4,99996
20-01-2025,CMP001,P001,R013,Desktop,Female,55+,5897.91,21485,922,73,5,124995
20-01-2025,CMP001,P001,R014,Mobile,Male,18-24,5724.86,19219,828,66,3,74997
20-01-2025,CMP001,P001,R015,Mobile,Female,18-24,5100.53,16394,883,70,5,124995
21-01-2025,CMP001,P001,R001,Desktop,Male,25-34,5454.45,21428,830,66,2,49998
21-01-2025,CMP001,P001,R002,Mobile,Female,45-54,5244.23,19665,1178,94,7,174993
21-01-2025,CMP001,P001,R003,Mobile,Female,25-34,5642.07,22568,1259,100,6,149994
21-01-2025,CMP001,P001,R004,Mobile,Male,35-44,5809.36,21370,974,77,5,124995
21-01-2025,CMP001,P001,R005,Desktop,Male,25-34,5237.79,18706,1070,85,6,149994
21-01-2025,CMP001,P001,R006,Mobile,Male,45-54,4937.27,19043,1019,81,3,74997
21-01-2025,CMP001,P001,R007,Mobile,Female,25-34,5176.62,18118,797,63,2,49998
21-01-2025,CMP001,P001,R008,Mobile,Female,18-24,4924.06,16179,701,56,1,24999
21-01-2025,CMP001,P001,R009,Desktop,Male,35-44,5650.94,19172,1013,81,3,74997
21-01-2025,CMP001,P001,R010,Mobile,Male,35-44,5930.27,20544,937,74,2,49998
21-01-2025,CMP001,P001,R011,Mobile,Female,25-34,5215.02,18811,935,74,5,124995
21-01-2025,CMP001,P001,R012,Mobile,Male,25-34,5359.38,18375,743,59,3,74997
21-01-2025,CMP001,P001,R013,Mobile,Female,25-34,5300.89,19310,956,76,2,49998
21-01-2025,CMP001,P001,R014,Mobile,Male,45-54,5370.31,18028,900,72,2,49998
21-01-2025,CMP001,P001,R015,Mobile,Male,45-54,4981.08,16010,624,49,1,24999
22-01-2025,CMP001,P001,R001,Mobile,Female,18-24,5395.93,21198,1002,80,3,74997
22-01-2025,CMP001,P001,R002,Mobile,Male,18-24,5575.16,20906,1013,81,5,124995
22-01-2025,CMP001,P001,R003,Desktop,Female,45-54,5440.16,21760,1207,96,5,124995
22-01-2025,CMP001,P001,R004,Mobile,Male,25-34,5906.04,21725,1064,85,6,149994
22-01-2025,CMP001,P001,R005,Mobile,Female,25-34,5751.85,20542,956,76,4,99996
22-01-2025,CMP001,P001,R006,Desktop,Female,18-24,5304.19,20459,1055,84,5,124995
22-01-2025,CMP001,P001,R007,Mobile,Male,45-54,5280.12,18480,785,62,3,74997
22-01-2025,CMP001,P001,R008,Desktop,Unknown,35-44,5806.4,19078,887,70,3,74997
22-01-2025,CMP001,P001,R009,Mobile,Female,18-24,5005.76,16983,834,66,4,99996
22-01-2025,CMP001,P001,R010,Desktop,Female,35-44,5914.59,20489,1074,85,4,99996
22-01-2025,CMP001,P001,R011,Mobile,Female,25-34,5622.83,20282,840,67,5,124995
22-01-2025,CMP001,P001,R012,Tablet,Male,35-44,5755.87,19734,1066,85,4,99996
22-01-2025,CMP001,P001,R013,Mobile,Female,18-24,5742.01,20917,991,79,6,149994
22-01-2025,CMP001,P001,R014,Mobile,Male,35-44,5840.1,19606,883,70,4,99996
22-01-2025,CMP001,P001,R015,Mobile,Female,25-34,5133.8,16501,782,62,2,49998
23-01-2025,CMP001,P001,R001,Mobile,Male,25-34,5005.37,19663,1144,91,5,124995
23-01-2025,CMP001,P001,R002,Mobile,Male,25-34,5232.81,19623,1148,91,3,74997
23-01-2025,CMP001,P001,R003,Mobile,Male,35-44,5964.7,23858,1104,88,4,99996
23-01-2025,CMP001,P001,R004,Mobile,Male,18-24,5780.99,21265,1159,92,4,99996
23-01-2025,CMP001,P001,R005,Desktop,Female,55+,5314.15,18979,970,77,5,124995
23-01-2025,CMP001,P001,R006,Desktop,Female,25-34,5665.43,21852,1072,85,3,74997
23-01-2025,CMP001,P001,R007,Mobile,Male,18-24,5776.58,20218,814,65,2,49998
23-01-2025,CMP001,P001,R008,Mobile,Female,25-34,5208.47,17113,875,70,4,99996
23-01-2025,CMP001,P001,R009,Desktop,Male,18-24,5236.51,17766,754,60,4,99996
23-01-2025,CMP001,P001,R010,Desktop,Female,35-44,5687.25,19702,949,75,4,99996
23-01-2025,CMP001,P001,R011,Mobile,Female,25-34,5605.21,20218,1191,95,4,99996
23-01-2025,CMP001,P001,R012,Mobile,Male,18-24,5567.03,19086,1018,81,5,124995
23-01-2025,CMP001,P001,R013,Desktop,Male,35-44,5830.86,21240,1101,88,6,149994
23-01-2025,CMP001,P001,R014,Mobile,Male,35-44,5114.2,17169,814,65,5,124995
23-01-2025,CMP001,P001,R015,Mobile,Male,45-54,5145.99,16540,684,54,2,49998
24-01-2025,CMP001,P001,R001,Mobile,Male,18-24,5378.61,21130,1005,80,5,124995
24-01-2025,CMP001,P001,R002,Mobile,Male,35-44,5378.05,20167,782,62,2,49998
24-01-2025,CMP001,P001,R003,Mobile,Male,35-44,5025.17,20100,883,70,4,99996
24-01-2025,CMP001,P001,R004,Mobile,Female,25-34,5221.91,19209,878,70,3,74997
24-01-2025,CMP001,P001,R005,Mobile,Male,45-54,5132.56,18330,982,78,5,124995
24-01-2025,CMP001,P001,R006,Desktop,Male,55+,5618.8,21672,881,70,5,124995
24-01-2025,CMP001,P001,R007,Mobile,Female,25-34,5517.24,19310,1076,86,5,124995
24-01-2025,CMP001,P001,R008,Mobile,Female,18-24,5344.49,17560,994,79,3,74997
24-01-2025,CMP001,P001,R009,Mobile,Male,18-24,5132.78,17414,800,64,4,99996
24-01-2025,CMP001,P001,R010,Desktop,Male,25-34,5473.37,18961,889,71,4,99996
24-01-2025,CMP001,P001,R011,Mobile,Male,18-24,5437.56,19614,900,72,4,99996
24-01-2025,CMP001,P001,R012,Desktop,Male,18-24,5882.12,20167,1012,80,5,124995
24-01-2025,CMP001,P001,R013,Desktop,Female,18-24,5238.75,19084,1122,89,3,74997
24-01-2025,CMP001,P001,R014,Mobile,Female,35-44,5688.31,19096,918,73,4,99996
24-01-2025,CMP001,P001,R015,Desktop,Female,35-44,5000.04,16071,901,72,2,49998
25-01-2025,CMP001,P001,R001,Mobile,Male,25-34,5177.71,20340,1001,80,4,99996
25-01-2025,CMP001,P001,R002,Desktop,Female,25-34,4912.82,18423,1090,87,4,99996
25-01-2025,CMP001,P001,R003,Mobile,Female,25-34,5525.68,22102,920,73,5,124995
25-01-2025,CMP001,P001,R004,Mobile,Male,18-24,5449.85,20047,1095,87,6,149994
25-01-2025,CMP001,P001,R005,Mobile,Male,35-44,5760.54,20573,1019,81,5,124995
25-01-2025,CMP001,P001,R006,Mobile,Male,35-44,5203.16,20069,1040,83,2,49998
25-01-2025,CMP001,P001,R007,Mobile,Female,25-34,5903.89,20663,890,71,4,99996
25-01-2025,CMP001,P001,R008,Desktop,Male,45-54,5341.92,17552,857,68,2,49998
25-01-2025,CMP001,P001,R009,Mobile,Male,25-34,5185.5,17593,801,64,4,99996
25-01-2025,CMP001,P001,R010,Mobile,Male,55+,5072.52,17572,797,63,2,49998
25-01-2025,CMP001,P001,R011,Tablet,Female,25-34,5814.05,20972,1095,87,3,74997
25-01-2025,CMP001,P001,R012,Mobile,Male,25-34,5398.45,18508,1058,84,3,74997
25-01-2025,CMP001,P001,R013,Tablet,Male,18-24,5118.08,18644,1082,86,4,99996
25-01-2025,CMP001,P001,R014,Mobile,Female,18-24,5485.77,18416,947,75,3,74997
25-01-2025,CMP001,P001,R015,Mobile,Male,45-54,5491.39,17650,750,60,1,24999
26-01-2025,CMP001,P001,R001,Mobile,Female,25-34,5569.45,21880,978,78,3,74997
26-01-2025,CMP001,P001,R002,Desktop,Female,25-34,5064.99,18993,973,77,4,99996
26-01-2025,CMP001,P001,R003,Mobile,Male,25-34,5923.9,23695,1050,84,6,149994
26-01-2025,CMP001,P001,R004,Mobile,Male,35-44,5780.45,21263,1001,80,4,99996
26-01-2025,CMP001,P001,R005,Mobile,Female,35-44,5674.22,20265,1095,87,5,124995
26-01-2025,CMP001,P001,R006,Mobile,Female,25-34,5250.21,20250,1027,82,5,124995
26-01-2025,CMP001,P001,R007,Desktop,Male,25-34,5077.66,17771,812,64,2,49998
26-01-2025,CMP001,P001,R008,Desktop,Unknown,25-34,5174.21,17000,843,67,4,99996
26-01-2025,CMP001,P001,R009,Mobile,Male,18-24,5267,17870,806,64,2,49998
26-01-2025,CMP001,P001,R010,Mobile,Female,18-24,5064.28,17544,787,62,2,49998
26-01-2025,CMP001,P001,R011,Desktop,Male,35-44,5627.47,20299,1073,85,6,149994
26-01-2025,CMP001,P001,R012,Mobile,Male,55+,5066.91,17372,731,58,4,99996
26-01-2025,CMP001,P001,R013,Mobile,Male,35-44,5225.52,19035,1083,86,6,149994
26-01-2025,CMP001,P001,R014,Desktop,Female,18-24,5144.01,17269,727,58,2,49998
26-01-2025,CMP001,P001,R015,Mobile,Female,45-54,5146.14,16541,965,77,2,49998
27-01-2025,CMP001,P001,R001,Mobile,Female,18-24,5192.42,20398,1172,93,4,99996
27-01-2025,CMP001,P001,R002,Desktop,Female,25-34,5885.47,22070,985,78,2,49998
27-01-2025,CMP001,P001,R003,Mobile,Female,45-54,5280.29,21121,1057,84,3,74997
27-01-2025,CMP001,P001,R004,Mobile,Female,45-54,5531.74,20348,1160,92,5,124995
27-01-2025,CMP001,P001,R005,Mobile,Female,35-44,4977.2,17775,992,79,6,149994
27-01-2025,CMP001,P001,R006,Mobile,Female,25-34,5788.45,22326,1128,90,4,99996
27-01-2025,CMP001,P001,R007,Mobile,Female,18-24,5958.25,20853,1025,82,4,99996
27-01-2025,CMP001,P001,R008,Mobile,Female,35-44,5568.77,18297,769,61,3,74997
27-01-2025,CMP001,P001,R009,Mobile,Male,25-34,5002.41,16972,675,54,2,49998
27-01-2025,CMP001,P001,R010,Mobile,Male,18-24,5258.89,18218,902,72,2,49998
27-01-2025,CMP001,P001,R011,Mobile,Male,18-24,5062.93,18262,939,75,5,124995
27-01-2025,CMP001,P001,R012,Mobile,Male,25-34,5781.32,19821,825,66,2,49998
27-01-2025,CMP001,P001,R013,Desktop,Male,18-24,4966.26,18091,755,60,2,49998
27-01-2025,CMP001,P001,R014,Mobile,Male,18-24,5215.75,17510,782,62,1,24999
27-01-2025,CMP001,P001,R015,Mobile,Male,18-24,5306.26,17055,719,57,3,74997
28-01-2025,CMP001,P001,R001,Mobile,Female,35-44,5695.82,22376,1146,91,6,149994
28-01-2025,CMP001,P001,R002,Mobile,Female,35-44,4961.81,18606,1035,82,2,49998
28-01-2025,CMP001,P001,R003,Mobile,Female,18-24,5639.84,22559,1192,95,3,74997
28-01-2025,CMP001,P001,R004,Mobile,Male,25-34,5231.83,19245,1075,86,5,124995
28-01-2025,CMP001,P001,R005,Mobile,Female,25-34,4996,17842,987,78,5,124995
28-01-2025,CMP001,P001,R006,Desktop,Male,25-34,4922.2,18985,1028,82,4,99996
28-01-2025,CMP001,P001,R007,Desktop,Male,35-44,5839.41,20437,1070,85,4,99996
28-01-2025,CMP001,P001,R008,Mobile,Female,18-24,5103.63,16769,998,79,4,99996
28-01-2025,CMP001,P001,R009,Mobile,Male,35-44,5652.27,19177,1135,90,2,49998
28-01-2025,CMP001,P001,R010,Mobile,Female,25-34,5189.14,17976,848,67,3,74997
28-01-2025,CMP001,P001,R011,Mobile,Male,35-44,5315,19171,1035,82,4,99996
28-01-2025,CMP001,P001,R012,Mobile,Male,25-34,5424.95,18599,861,68,3,74997
28-01-2025,CMP001,P001,R013,Desktop,Female,35-44,5534.98,20163,1095,87,3,74997
28-01-2025,CMP001,P001,R014,Mobile,Male,45-54,5293.25,17770,764,61,2,49998
28-01-2025,CMP001,P001,R015,Mobile,Male,25-34,5330.53,17133,879,70,3,74997
29-01-2025,CMP001,P001,R001,Mobile,Female,25-34,5173.21,20323,891,71,3,74997
29-01-2025,CMP001,P001,R002,Mobile,Male,18-24,5054.78,18955,738,59,3,74997
29-01-2025,CMP001,P001,R003,Mobile,Female,25-34,5678.73,22714,1288,103,7,174993
29-01-2025,CMP001,P001,R004,Mobile,Female,25-34,5667.28,20847,1104,88,3,74997
29-01-2025,CMP001,P001,R005,Mobile,Male,18-24,5722.84,20438,843,67,3,74997
29-01-2025,CMP001,P001,R006,Desktop,Female,55+,5963.68,23002,1253,100,7,174993
29-01-2025,CMP001,P001,R007,Mobile,Male,35-44,5502.11,19257,787,62,2,49998
29-01-2025,CMP001,P001,R008,Desktop,Female,45-54,5454.18,17920,992,79,6,149994
